City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
2,Bac Lieu,VN,81.01,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
7,Morehead,US,76.75,clear sky,37.2711,-87.1764,CCI Express Inn
18,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
20,Carutapera,BR,78.53,broken clouds,-1.195,-46.02,Lidera
23,Tual,ID,84.09,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
26,Waynesville,US,75.54,clear sky,35.4887,-82.9887,Best Western Smoky Mountain Inn
27,Burley,US,76.96,clear sky,42.5357,-113.7928,Fairfield Inn & Suites by Marriott Burley
34,Rikitea,PF,77.41,few clouds,-23.1203,-134.9692,People ThankYou
35,Hilo,US,88.29,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
38,Kieta,PG,83.14,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
39,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
48,Bud,US,76.98,few clouds,39.447,-86.1758,Ted McQuinn Trust
50,Nhulunbuy,AU,77.61,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
53,Butaritari,KI,82.81,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
57,Kavieng,PG,83.14,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
63,Ouidah,BJ,84.06,overcast clouds,6.3631,2.0851,Le Jardin Secret Ouidah
73,Lethem,GY,80.37,moderate rain,3.3803,-59.7968,Savannah Inn
82,Ko Samui,TH,83.23,overcast clouds,9.5357,99.9357,The Passage
83,Kloulklubed,PW,79.3,clear sky,7.0419,134.2556,Storyboard Beach Resort
84,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
90,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
94,Atuona,PF,79.07,clear sky,-9.8,-139.0333,Villa Enata
105,Cabedelo,BR,79.47,broken clouds,-6.9811,-34.8339,Hotel Pigalle
107,Hithadhoo,MV,84.02,overcast clouds,-0.6,73.0833,Scoop Guest House
125,Belmonte,BR,76.55,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
149,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
