City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Carmen,18.6333,-91.8333,87.84,62,0,13.8,MX,2022-05-16 21:22:56
1,Qaanaaq,77.484,-69.3632,23.52,75,37,3.6,GL,2022-05-16 21:22:56
2,Lagoa,39.05,-27.9833,56.34,66,7,30.51,PT,2022-05-16 21:22:57
3,Mecca,21.4267,39.8261,86.67,35,0,2.17,SA,2022-05-16 21:20:15
4,Carnarvon,-24.8667,113.6333,69.46,59,0,7.14,AU,2022-05-16 21:22:58
5,Wuan,31.6836,112.0044,58.69,61,2,2.1,CN,2022-05-16 21:22:59
6,Palmer,42.1584,-72.3287,78.35,59,75,21.85,US,2022-05-16 21:22:59
7,Nanortalik,60.1432,-45.2371,38.26,75,98,7.05,GL,2022-05-16 21:22:59
8,Soroti,1.7146,33.6111,65.66,85,24,5.91,UG,2022-05-16 21:23:00
9,Mar Del Plata,-38.0023,-57.5575,52.95,85,75,12.66,AR,2022-05-16 21:23:00
10,Grand Gaube,-20.0064,57.6608,73.8,77,85,1.99,MU,2022-05-16 21:23:01
11,Mataura,-46.1927,168.8643,50.49,96,100,3.13,NZ,2022-05-16 21:23:01
12,Biltine,14.5333,20.9167,86.61,27,83,8.34,TD,2022-05-16 21:23:01
13,Rikitea,-23.1203,-134.9692,77.2,72,28,18.01,PF,2022-05-16 21:23:02
14,Oyon,-10.6681,-76.7731,52.65,68,98,3.11,PE,2022-05-16 21:23:02
15,Zaragoza,41.6561,-0.8773,79.25,40,0,8.05,ES,2022-05-16 21:23:03
16,Ulaanbaatar,47.9077,106.8832,33.93,64,0,2.24,MN,2022-05-16 21:20:00
17,Severo-Kurilsk,50.6789,156.125,37.22,95,73,10.92,RU,2022-05-16 21:23:04
18,Marawi,7.9986,124.2928,69.39,92,93,2.89,PH,2022-05-16 21:23:04
19,Ushuaia,-54.8,-68.3,42.46,81,75,5.75,AR,2022-05-16 21:21:17
20,Brownwood,31.7093,-98.9912,100.4,28,0,6.91,US,2022-05-16 21:21:19
21,Nishihara,26.1842,127.7558,64.45,97,100,10.36,JP,2022-05-16 21:23:05
22,Hasaki,35.7333,140.8333,59.29,89,100,16.44,JP,2022-05-16 21:23:06
23,Nikolskoye,59.7035,30.7861,47.88,94,100,6.02,RU,2022-05-16 21:23:07
24,Esperance,-33.8667,121.9,54.84,70,0,12.53,AU,2022-05-16 21:23:07
25,Albany,42.6001,-73.9662,65.62,91,92,8.79,US,2022-05-16 21:20:51
26,Provideniya,64.3833,-173.3,30.36,80,0,7.0,RU,2022-05-16 21:23:08
27,Port Elizabeth,-33.918,25.5701,67.1,77,0,4.61,ZA,2022-05-16 21:23:08
28,Mendi,-6.1761,143.6513,53.65,96,100,2.89,PG,2022-05-16 21:23:09
29,Havre-Saint-Pierre,50.2334,-63.5986,41.36,93,100,14.97,CA,2022-05-16 21:23:09
30,Dakar,14.6937,-17.4441,80.73,78,93,4.61,SN,2022-05-16 21:21:07
31,Hamilton,39.1834,-84.5333,78.94,37,75,13.8,US,2022-05-16 21:23:10
32,Bethel,41.3712,-73.414,73.49,78,75,11.5,US,2022-05-16 21:21:54
33,Praia Da Vitoria,38.7333,-27.0667,58.75,72,20,21.9,PT,2022-05-16 21:23:11
