City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puerto Ayora,EC,-0.7393,-90.3518,82.36,93,91,3.0,overcast clouds
1,Moranbah,AU,-22.0016,148.0466,71.62,78,99,17.45,overcast clouds
2,Bac Lieu,VN,9.285,105.7244,81.01,81,100,5.53,overcast clouds
3,Bonavista,CA,48.6499,-53.1147,38.55,90,87,13.56,overcast clouds
4,Nikolskoye,RU,59.7035,30.7861,47.88,93,100,6.04,overcast clouds
5,Cape Town,ZA,-33.9258,18.4232,66.88,51,0,9.22,clear sky
6,Punta Arenas,CL,-53.15,-70.9167,41.11,80,100,7.72,overcast clouds
7,Morehead,US,37.2711,-87.1764,76.75,33,0,0.0,clear sky
8,Kaseda,JP,31.4167,130.3167,62.26,69,100,5.75,overcast clouds
9,Kodiak,US,57.79,-152.4072,60.31,27,75,10.36,broken clouds
10,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,80,100,9.22,overcast clouds
11,Ushuaia,AR,-54.8,-68.3,42.46,87,75,13.8,light intensity drizzle
12,Albany,US,42.6001,-73.9662,64.72,93,95,10.96,overcast clouds
13,Busselton,AU,-33.65,115.3333,58.78,65,74,10.02,broken clouds
14,Clyde River,CA,70.4692,-68.5914,28.63,93,20,9.22,few clouds
15,Skibbereen,IE,51.55,-9.2667,57.11,93,81,25.95,moderate rain
16,Meadow Lake,US,34.8014,-106.5436,92.61,11,43,22.15,scattered clouds
17,Lasa,IT,46.6166,10.7002,58.08,92,98,5.66,overcast clouds
18,Avarua,CK,-21.2078,-159.775,82.45,65,40,8.05,scattered clouds
19,Zhenhai,CN,24.2582,118.0905,63.09,75,67,10.56,broken clouds
20,Carutapera,BR,-1.195,-46.02,78.53,87,56,7.54,broken clouds
21,San Roque,ES,36.2107,-5.3842,72.43,49,3,12.66,clear sky
22,Naryan-Mar,RU,67.6713,53.087,33.93,90,100,12.77,overcast clouds
23,Tual,ID,-5.6667,132.75,84.09,71,38,17.0,scattered clouds
24,Hermanus,ZA,-34.4187,19.2345,67.8,45,88,3.94,overcast clouds
25,Iquique,CL,-20.2208,-70.1431,62.64,76,27,6.06,scattered clouds
26,Waynesville,US,35.4887,-82.9887,75.54,65,9,1.99,clear sky
27,Burley,US,42.5357,-113.7928,76.96,33,0,16.11,clear sky
28,Te Anau,NZ,-45.4167,167.7167,54.43,81,99,5.5,overcast clouds
29,Half Moon Bay,US,37.4636,-122.4286,73.89,75,100,31.07,mist
30,Codrington,AU,-38.2667,141.9667,50.07,82,100,10.02,overcast clouds
31,Tiksi,RU,71.6872,128.8694,24.22,95,100,15.03,light snow
32,Bredasdorp,ZA,-34.5322,20.0403,65.55,25,45,5.99,scattered clouds
33,Watsa,CD,3.0372,29.5355,63.79,98,95,1.23,light rain
34,Rikitea,PF,-23.1203,-134.9692,77.41,73,19,18.72,few clouds
35,Hilo,US,19.7297,-155.09,88.29,75,75,10.0,broken clouds
36,Mogilno,PL,52.6581,17.9558,57.2,69,98,6.22,overcast clouds
37,Dembi Dolo,ET,8.5333,34.8,57.76,87,17,3.67,few clouds
38,Kieta,PG,-6.2167,155.6333,83.14,71,96,0.92,overcast clouds
39,Vaini,TO,-21.2,-175.2,77.16,65,75,6.91,broken clouds
40,East London,ZA,-33.0153,27.9116,68.05,54,0,8.03,clear sky
41,Sawtell,AU,-30.3833,153.1,66.22,77,80,9.22,broken clouds
42,Cidreira,BR,-30.1811,-50.2056,54.61,70,37,21.07,scattered clouds
43,Klaksvik,FO,62.2266,-6.589,47.32,85,21,24.27,few clouds
44,Mayo,US,38.8876,-76.5119,74.1,91,100,6.91,mist
45,Barrow,US,71.2906,-156.7887,17.62,73,100,12.66,overcast clouds
46,Port Alfred,ZA,-33.5906,26.891,70.57,51,0,10.25,clear sky
47,Fairbanks,US,64.8378,-147.7164,49.08,61,100,5.75,overcast clouds
48,Bud,US,39.447,-86.1758,76.98,38,13,8.21,few clouds
49,Shimoda,JP,34.6667,138.95,59.11,86,100,6.22,light rain
50,Nhulunbuy,AU,-12.2333,136.7667,77.61,83,46,4.61,scattered clouds
51,Altagracia De Orituco,VE,9.8601,-66.3814,74.25,92,100,2.33,overcast clouds
52,Beloha,MG,-25.1667,45.05,67.64,72,1,14.52,clear sky
53,Butaritari,KI,3.0707,172.7902,82.81,67,94,9.33,overcast clouds
54,Saint-Paul,RE,-21.0096,55.2707,73.49,82,21,3.06,few clouds
55,Luderitz,NA,-26.6481,15.1594,73.53,29,4,5.06,clear sky
56,Fortuna,US,40.5982,-124.1573,61.09,75,100,12.66,overcast clouds
57,Kavieng,PG,-2.5744,150.7967,83.14,70,25,7.49,scattered clouds
58,Yar-Sale,RU,66.8333,70.8333,36.32,99,100,3.51,overcast clouds
59,Chuy,UY,-33.6971,-53.4616,52.56,87,66,16.8,light rain
60,Hobart,AU,-42.8794,147.3294,51.22,75,75,11.5,broken clouds
61,Torbay,CA,47.6666,-52.7314,45.28,82,75,8.05,broken clouds
62,Norman Wells,CA,65.282,-126.8329,55.44,44,20,3.44,few clouds
63,Ouidah,BJ,6.3631,2.0851,84.06,84,99,9.86,overcast clouds
64,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,88,40,6.91,light rain
65,Castro,BR,-24.7911,-50.0119,48.16,73,4,7.02,clear sky
66,Novyy Svit,UA,47.8059,38.0211,52.02,64,80,7.63,broken clouds
67,Khatanga,RU,71.9667,102.5,30.58,88,97,14.2,overcast clouds
68,Lavrentiya,RU,65.5833,-171.0,28.26,69,70,0.74,broken clouds
69,Taltal,CL,-25.4,-70.4833,61.09,77,100,5.46,overcast clouds
70,San Rafael,AR,-34.6177,-68.3301,47.77,40,0,6.2,clear sky
71,Galveston,US,29.3669,-94.9669,94.15,70,0,20.71,clear sky
72,Pevek,RU,69.7008,170.3133,33.57,90,100,5.5,overcast clouds
73,Lethem,GY,3.3803,-59.7968,80.37,79,95,8.21,moderate rain
74,Gamba,GA,-2.65,10.0,77.63,91,88,2.93,overcast clouds
75,Avera,US,33.194,-82.5271,89.65,46,67,10.36,broken clouds
76,Ndola,ZM,-12.9587,28.6366,61.25,64,100,6.69,overcast clouds
77,Port Elizabeth,ZA,-33.918,25.5701,67.1,77,0,3.44,clear sky
78,Bambous Virieux,MU,-20.3428,57.7575,73.65,78,75,9.22,broken clouds
